gene	gene_id	chromosome	lof.oe_ci.upper	mis.z_score
TSPAN2	10100	NA	1.0139e+00	8.2853e-02
TSPAN2	ENSG00000134198	chr1	1.0139e+00	8.2853e-02
TSPAN3	10099	NA	5.0447e-01	1.4814e+00
TSPAN3	ENSG00000140391	chr15	5.0447e-01	1.4814e+00
TSPAN31	6302	NA	9.7889e-01	1.1456e+00
TSPAN31	ENSG00000135452	chr12	9.7889e-01	1.1456e+00
TSPAN32	10077	NA	1.4036e+00	-9.3106e-01
TSPAN32	ENSG00000064201	chr11	1.4036e+00	-9.3106e-01
TSPAN33	340348	NA	1.0705e+00	1.2521e+00
TSPAN33	ENSG00000158457	chr7	1.0705e+00	1.2521e+00
TSPAN4	7106	NA	1.5807e+00	-3.0446e-01
TSPAN4	ENSG00000214063	chr11	1.5807e+00	-3.0446e-01
TSPAN5	10098	NA	4.5689e-01	3.1066e+00
TSPAN5	ENSG00000168785	chr4	4.5689e-01	3.1066e+00
TSPAN6	7105	NA	1.1495e+00	-6.7421e-02
TSPAN6	ENSG00000000003	chrX	1.1495e+00	-6.7421e-02
TSPAN7	7102	NA	2.6958e-01	2.6931e+00
TSPAN7	ENSG00000156298	chrX	2.6958e-01	2.6931e+00
TSPAN8	7103	NA	9.2238e-01	3.2723e-01
TSPAN8	ENSG00000127324	chr12	9.2238e-01	3.2723e-01
TSPAN9	10867	NA	7.8489e-01	9.7680e-01
TSPAN9	ENSG00000011105	chr12	7.8489e-01	9.7680e-01
TSPEAR	54084	NA	1.1781e+00	-1.0853e+00
TSPEAR	ENSG00000175894	chr21	1.1781e+00	-1.0853e+00
TSPO	706	NA	1.5768e+00	-6.9081e-02
TSPO	ENSG00000100300	chr22	1.5768e+00	-6.9081e-02
TSPO2	222642	NA	1.7336e+00	-1.1207e-01
TSPO2	ENSG00000112212	chr6	1.7336e+00	-1.1207e-01
TSPOAP1	9256	NA	5.2780e-01	2.0608e+00
TSPOAP1	ENSG00000005379	chr17	5.2780e-01	2.0608e+00
TSPY1	7258	NA	NA	NA
TSPY1	ENSG00000258992	chrY	NA	NA
TSPY10	100289087	NA	NA	NA
TSPY10	ENSG00000236424	chrY	NA	NA
TSPY2	ENSG00000168757	chrY	NA	3.2541e+00
TSPY3	728137	NA	NA	NA
TSPY3	ENSG00000228927	chrY	NA	NA
TSPY4	ENSG00000233803	chrY	NA	NA
TSPY8	728403	NA	NA	2.6512e+00
TSPY8	ENSG00000229549	chrY	NA	2.6512e+00
TSPY9P	ENSG00000238074	chrY	NA	NA
TSPYL1	7259	NA	1.2092e+00	1.6641e-01
TSPYL1	ENSG00000189241	chr6	1.2092e+00	1.6641e-01
TSPYL2	64061	NA	4.7660e-01	-8.7697e-01
TSPYL2	ENSG00000184205	chrX	4.7660e-01	-8.7697e-01
TSPYL4	23270	NA	1.2977e+00	-5.9505e-01
TSPYL4	ENSG00000187189	chr6	1.2977e+00	-5.9505e-01
TSPYL5	85453	NA	NA	-9.8719e-03
TSPYL5	ENSG00000180543	chr8	NA	-9.8719e-03
TSPYL6	388951	NA	NA	-3.0988e+00
TSPYL6	ENSG00000178021	chr2	NA	-3.0988e+00
TSR1	55720	NA	1.0723e+00	-2.3130e-02
TSR1	ENSG00000167721	chr17	1.0723e+00	-2.3130e-02
TSR2	90121	NA	3.5631e-01	1.0785e+00
TSR2	ENSG00000158526	chrX	3.5631e-01	1.0785e+00
TSR3	115939	NA	1.4867e+00	-1.3552e+00
TSR3	ENSG00000007520	chr16	1.4867e+00	-1.3552e+00
TSSC4	10078	NA	NA	-1.1360e+00
TSSC4	ENSG00000184281	chr11	NA	-1.1360e+00
TSSK1B	83942	NA	1.5715e+00	1.3563e-01
TSSK1B	ENSG00000212122	chr5	1.5715e+00	1.3563e-01
TSSK2	23617	NA	7.4259e-01	1.0024e+00
TSSK2	ENSG00000206203	chr22	7.4259e-01	1.0024e+00
TSSK3	81629	NA	1.2848e+00	-9.3386e-02
TSSK3	ENSG00000162526	chr1	1.2848e+00	-9.3386e-02
TSSK4	283629	NA	1.1036e+00	1.8070e+00
TSSK4	ENSG00000139908	chr14	1.1036e+00	1.8070e+00
TSSK6	83983	NA	1.8492e+00	1.7349e+00
TSSK6	ENSG00000178093	chr19	1.8492e+00	1.7349e+00
TST	7263	NA	1.5408e+00	2.8036e-01
TST	ENSG00000128311	chr22	1.5408e+00	2.8036e-01
TSTD1	100131187	NA	1.0421e+00	-1.7267e-01
TSTD1	ENSG00000215845	chr1	1.0421e+00	-1.7267e-01
TSTD2	158427	NA	1.0168e+00	5.1600e-01
TSTD2	ENSG00000136925	chr9	1.0168e+00	5.1600e-01
TSTD3	100130890	NA	1.4598e+00	7.4161e-01
TSTD3	ENSG00000279170	chr6	1.4598e+00	7.4161e-01
TTBK1	84630	NA	4.1700e-01	2.8643e+00
TTBK1	ENSG00000146216	chr6	4.1700e-01	2.8643e+00
TTBK2	146057	NA	3.4633e-01	1.4460e+00
TTBK2	ENSG00000128881	chr15	3.4633e-01	1.4460e+00
TTC1	7265	NA	1.1128e+00	-2.7734e-01
TTC1	ENSG00000113312	chr5	1.1128e+00	-2.7734e-01
TTC12	54970	NA	9.4760e-01	3.9694e-01
TTC12	ENSG00000149292	chr11	9.4760e-01	3.9694e-01
TTC13	79573	NA	6.3861e-01	2.9765e+00
TTC13	ENSG00000143643	chr1	6.3861e-01	2.9765e+00
TTC14	151613	NA	9.7224e-01	-1.4954e-02
TTC14	ENSG00000163728	chr3	9.7224e-01	-1.4954e-02
TTC16	158248	NA	1.0071e+00	4.2596e-01
TTC16	ENSG00000167094	chr9	1.0071e+00	4.2596e-01
TTC17	55761	NA	5.0184e-01	1.3661e+00
TTC17	ENSG00000052841	chr11	5.0184e-01	1.3661e+00
TTC19	54902	NA	1.0065e+00	5.1980e-02
TTC19	ENSG00000011295	chr17	1.0065e+00	5.1980e-02
TTC21A	199223	NA	9.4754e-01	1.7824e+00
TTC21A	ENSG00000168026	chr3	9.4754e-01	1.7824e+00
TTC21B	79809	NA	8.4047e-01	-2.8719e-02
TTC21B	ENSG00000123607	chr2	8.4047e-01	-2.8719e-02
TTC22	55001	NA	1.1259e+00	3.4477e-01
TTC22	ENSG00000006555	chr1	1.1259e+00	3.4477e-01
TTC23	64927	NA	1.3094e+00	3.4014e-01
TTC23	ENSG00000103852	chr15	1.3094e+00	3.4014e-01
TTC23L	ENSG00000205838	chr5	1.1291e+00	6.2321e-01
TTC24	164118	NA	1.0699e+00	7.9671e-01
TTC24	ENSG00000187862	chr1	1.0699e+00	7.9671e-01
TTC26	79989	NA	7.6887e-01	1.8069e+00
TTC26	ENSG00000105948	chr7	7.6887e-01	1.8069e+00
TTC27	55622	NA	8.2180e-01	-8.2435e-01
TTC27	ENSG00000018699	chr2	8.2180e-01	-8.2435e-01
TTC28	23331	NA	3.7513e-01	3.6236e+00
TTC28	ENSG00000100154	chr22	3.8133e-01	3.6851e+00
TTC29	83894	NA	1.0696e+00	-4.7792e-01
TTC29	ENSG00000137473	chr4	1.0696e+00	-4.7792e-01
TTC3	ENSG00000182670	chr21	8.1609e-01	2.9386e+00
TTC30A	92104	NA	1.0327e+00	1.4378e+00
TTC30A	ENSG00000197557	chr2	1.0327e+00	1.4378e+00
TTC30B	150737	NA	8.8872e-01	1.5686e+00
TTC30B	ENSG00000196659	chr2	8.8872e-01	1.5686e+00
TTC31	64427	NA	1.2140e+00	-4.2131e-01
TTC31	ENSG00000115282	chr2	1.2140e+00	-4.2131e-01
TTC32	130502	NA	1.5880e+00	-1.9166e-01
TTC32	ENSG00000183891	chr2	1.5880e+00	-1.9166e-01
TTC33	23548	NA	1.1485e+00	5.8979e-01
TTC33	ENSG00000113638	chr5	1.1485e+00	5.8979e-01
TTC34	100287898	NA	1.1917e+00	-2.9875e-01
TTC34	ENSG00000215912	chr1	1.3895e+00	-6.7827e-01
TTC36	143941	NA	1.3214e+00	-8.2204e-01
TTC36	ENSG00000172425	chr11	1.3214e+00	-8.2204e-01
TTC37	9652	NA	8.1534e-01	1.1430e+00
TTC37	ENSG00000198677	chr5	8.1534e-01	1.1430e+00
TTC38	55020	NA	1.2266e+00	7.3138e-01
TTC38	ENSG00000075234	chr22	1.2266e+00	7.3138e-01
TTC39A	22996	NA	7.1460e-01	2.7141e+00
TTC39A	ENSG00000085831	chr1	7.1460e-01	2.7141e+00
TTC39B	ENSG00000155158	chr9	1.1321e+00	-2.1847e+00
TTC39C	125488	NA	5.7859e-01	1.7131e+00
TTC39C	ENSG00000168234	chr18	5.7859e-01	1.7131e+00
TTC4	7268	NA	9.1533e-01	1.1130e+00
TTC4	ENSG00000243725	chr1	9.1533e-01	1.1130e+00
TTC5	91875	NA	1.0253e+00	4.4700e-01
TTC5	ENSG00000136319	chr14	1.0253e+00	4.4700e-01
TTC6	ENSG00000139865	chr14	9.2773e-01	-8.4932e-01
TTC7A	57217	NA	1.2424e+00	-2.8551e+00
TTC7A	ENSG00000068724	chr2	1.2424e+00	-2.8551e+00
TTC7B	145567	NA	3.5941e-01	2.7875e+00
TTC7B	ENSG00000165914	chr14	3.5941e-01	2.7875e+00
TTC8	123016	NA	8.2722e-01	2.0856e-01
TTC8	ENSG00000165533	chr14	8.2722e-01	2.0856e-01
TTC9	23508	NA	9.0235e-01	2.9374e-01
TTC9	ENSG00000133985	chr14	9.0235e-01	2.9374e-01
TTC9B	148014	NA	1.0015e+00	6.7039e-01
TTC9B	ENSG00000174521	chr19	1.0015e+00	6.7039e-01
TTC9C	283237	NA	1.0277e+00	-8.5727e-01
TTC9C	ENSG00000162222	chr11	1.0277e+00	-8.5727e-01
TTF1	7270	NA	9.8277e-01	8.1837e-01
TTF1	ENSG00000125482	chr9	9.8277e-01	8.1837e-01
TTF2	8458	NA	8.9002e-01	6.0672e-01
TTF2	ENSG00000116830	chr1	8.9002e-01	6.0672e-01
TTI1	9675	NA	7.6690e-01	1.4572e+00
TTI1	ENSG00000101407	chr20	7.6690e-01	1.4572e+00
TTI2	80185	NA	8.0302e-01	5.1069e-01
TTI2	ENSG00000129696	chr8	8.0302e-01	5.1069e-01
TTK	7272	NA	6.2482e-01	9.2768e-01
TTK	ENSG00000112742	chr6	6.2482e-01	9.2768e-01
TTL	150465	NA	4.1250e-01	1.8563e+00
TTL	ENSG00000114999	chr2	4.1250e-01	1.8563e+00
TTLL1	25809	NA	9.2227e-01	1.0845e+00
TTLL1	ENSG00000100271	chr22	9.2227e-01	1.0845e+00
TTLL10	254173	NA	1.0945e+00	-2.2285e-01
TTLL10	ENSG00000162571	chr1	1.0945e+00	-2.2285e-01
TTLL10-AS1	100506376	NA	1.6954e+00	-1.8226e+00
TTLL11	158135	NA	1.0513e+00	1.9670e+00
TTLL11	ENSG00000175764	chr9	1.0513e+00	1.9670e+00
TTLL12	23170	NA	1.1697e+00	-1.0411e+00
TTLL12	ENSG00000100304	chr22	1.1697e+00	-1.0411e+00
TTLL13P	ENSG00000213471	chr15	1.1412e+00	6.0215e-01
TTLL2	83887	NA	2.2482e+00	4.1814e-02
TTLL2	ENSG00000120440	chr6	2.2482e+00	4.1814e-02
TTLL3	ENSG00000214021	chr3	1.0337e+00	9.5105e-01
TTLL4	9654	NA	8.2992e-01	1.3885e+00
TTLL4	ENSG00000135912	chr2	8.2992e-01	1.3885e+00
TTLL5	23093	NA	9.0562e-01	3.9110e-01
TTLL5	ENSG00000119685	chr14	9.0562e-01	3.9110e-01
TTLL6	284076	NA	9.4304e-01	8.1330e-01
TTLL6	ENSG00000170703	chr17	9.4304e-01	8.1330e-01
TTLL7	79739	NA	5.5439e-01	3.3059e+00
TTLL7	ENSG00000137941	chr1	5.5439e-01	3.3059e+00
TTLL8	ENSG00000138892	chr22	1.0270e+00	1.2711e+00
TTLL9	ENSG00000131044	chr20	9.1430e-01	5.6938e-01
TTN	7273	NA	4.9359e-01	5.3994e+00
TTN	ENSG00000155657	chr2	4.9359e-01	5.3994e+00
TTPA	7274	NA	1.2602e+00	3.6521e-01
TTPA	ENSG00000137561	chr8	1.2602e+00	3.6521e-01
TTPAL	79183	NA	1.0552e+00	1.6650e+00
TTPAL	ENSG00000124120	chr20	1.0552e+00	1.6650e+00
TTR	7276	NA	1.0499e+00	1.5823e+00
TTR	ENSG00000118271	chr18	1.0499e+00	1.5823e+00
TTYH1	57348	NA	7.2137e-01	6.7119e-01
TTYH1	ENSG00000167614	chr19	7.2137e-01	6.7119e-01
TTYH2	94015	NA	9.0990e-01	1.1180e+00
TTYH2	ENSG00000141540	chr17	9.0990e-01	1.1180e+00
TTYH3	80727	NA	4.7752e-01	-6.3660e-01
TTYH3	ENSG00000136295	chr7	4.7752e-01	-6.3660e-01
TUB	7275	NA	7.3872e-01	2.1316e-01
TUB	ENSG00000166402	chr11	7.3872e-01	2.1316e-01
TUBA1A	7846	NA	3.7972e-01	9.9463e+00
TUBA1A	ENSG00000167552	chr12	3.7972e-01	9.9463e+00
TUBA1B	10376	NA	1.3780e-01	9.3497e+00
TUBA1B	ENSG00000123416	chr12	1.3780e-01	9.3497e+00
TUBA1C	84790	NA	6.9549e-01	4.5462e+00
TUBA1C	ENSG00000167553	chr12	6.9549e-01	4.5462e+00
TUBA3C	7278	NA	9.7607e-01	3.6774e+00
TUBA3C	ENSG00000198033	chr13	9.7607e-01	3.6774e+00
TUBA3D	113457	NA	9.3452e-01	4.4468e+00
TUBA3D	ENSG00000075886	chr2	9.3452e-01	4.4468e+00
TUBA3E	112714	NA	8.2510e-01	2.3462e+00
TUBA3E	ENSG00000152086	chr2	8.2510e-01	2.3462e+00
TUBA4A	7277	NA	9.5020e-01	5.5766e+00
TUBA4A	ENSG00000127824	chr2	9.5020e-01	5.5766e+00
TUBA4B	80086	NA	1.1238e+00	1.6139e-01
TUBA4B	ENSG00000243910	chr2	1.1238e+00	1.6139e-01
TUBA8	51807	NA	1.1385e+00	1.0145e+00
TUBA8	ENSG00000183785	chr22	1.1385e+00	1.0145e+00
TUBAL3	79861	NA	1.5723e+00	-5.8235e-01
TUBAL3	ENSG00000178462	chr10	1.5723e+00	-5.8235e-01
TUBB	203068	NA	1.7947e-01	9.5706e+00
TUBB	ENSG00000196230	chr6	1.7947e-01	9.5706e+00
TUBB1	81027	NA	1.6971e+00	4.9359e-01
TUBB1	ENSG00000101162	chr20	1.6971e+00	4.9359e-01
TUBB2A	7280	NA	3.8752e-01	8.9881e+00
TUBB2A	ENSG00000137267	chr6	3.8752e-01	8.9881e+00
TUBB2B	347733	NA	3.0032e-01	9.3675e+00
TUBB2B	ENSG00000137285	chr6	3.0032e-01	9.3675e+00
TUBB3	10381	NA	6.7489e-01	6.5824e+00
TUBB3	ENSG00000258947	chr16	6.7489e-01	6.5824e+00
TUBB4A	10382	NA	5.8891e-01	5.8371e+00
TUBB4A	ENSG00000104833	chr19	5.8891e-01	5.8371e+00
TUBB4B	10383	NA	3.8386e-01	7.4702e+00
TUBB4B	ENSG00000188229	chr9	3.8386e-01	7.4702e+00
TUBB6	84617	NA	8.2641e-01	2.5784e+00
TUBB6	ENSG00000176014	chr18	8.2641e-01	2.5784e+00
TUBB8	347688	NA	1.0358e+00	5.6908e+00
TUBB8	ENSG00000261456	chr10	1.0358e+00	5.6908e+00
TUBB8B	260334	NA	1.1999e+00	1.5066e+00
TUBB8B	ENSG00000173213	chr18	1.1300e+00	2.1078e+00
TUBD1	51174	NA	9.7346e-01	9.0837e-01
TUBD1	ENSG00000108423	chr17	9.7346e-01	9.0837e-01
TUBE1	51175	NA	8.4610e-01	6.8675e-01
TUBE1	ENSG00000074935	chr6	8.4610e-01	6.8675e-01
TUBG1	7283	NA	5.8890e-01	6.6557e+00
TUBG1	ENSG00000131462	chr17	5.8890e-01	6.6557e+00
TUBG2	27175	NA	9.2506e-01	4.2014e+00
TUBG2	ENSG00000037042	chr17	9.2506e-01	4.2014e+00
TUBGCP2	10844	NA	7.4646e-01	1.1861e+00
TUBGCP2	ENSG00000130640	chr10	7.4646e-01	1.1861e+00
TUBGCP3	10426	NA	5.1416e-01	3.1120e+00
TUBGCP3	ENSG00000126216	chr13	5.1416e-01	3.1120e+00
TUBGCP4	27229	NA	7.3990e-01	3.1332e+00
TUBGCP4	ENSG00000137822	chr15	7.3990e-01	3.1332e+00
TUBGCP5	114791	NA	8.6054e-01	1.1461e+00
TUBGCP5	ENSG00000275835	chr15	8.6054e-01	1.1461e+00
TUBGCP6	85378	NA	1.0439e+00	-1.2021e+00
TUBGCP6	ENSG00000128159	chr22	1.0439e+00	-1.2021e+00
TUFM	7284	NA	7.2382e-01	2.0835e+00
TUFM	ENSG00000178952	chr16	7.2382e-01	2.0835e+00
TUFT1	7286	NA	9.5995e-01	5.7848e-01
TUFT1	ENSG00000143367	chr1	9.5995e-01	5.7848e-01
TULP1	7287	NA	9.4339e-01	-1.8743e-01
TULP1	ENSG00000112041	chr6	9.4339e-01	-1.8743e-01
TULP2	7288	NA	1.3061e+00	2.4812e-01
TULP2	ENSG00000104804	chr19	1.3061e+00	2.4812e-01
TULP3	7289	NA	9.8185e-01	3.2181e-01
TULP3	ENSG00000078246	chr12	9.8185e-01	3.2181e-01
TULP4	56995	NA	1.8836e-01	2.0408e+00
TULP4	ENSG00000130338	chr6	1.8836e-01	2.0408e+00
TUSC1	286319	NA	2.7721e+00	-2.7912e+00
TUSC1	ENSG00000198680	chr9	2.7721e+00	-2.7912e+00
TUSC2	11334	NA	1.1422e+00	7.8857e-01
TUSC2	ENSG00000114383	chr3	1.1422e+00	7.8857e-01
TUSC3	7991	NA	1.2869e+00	-1.6533e+00
TUSC3	ENSG00000104723	chr8	1.2869e+00	-1.6533e+00
TUT1	64852	NA	7.3912e-01	6.3572e-01
TUT1	ENSG00000149016	chr11	7.3912e-01	6.3572e-01
TUT4	23318	NA	2.4736e-01	4.4747e+00
TUT4	ENSG00000134744	chr1	2.4736e-01	4.4747e+00
TUT7	79670	NA	2.6602e-01	4.3103e+00
TUT7	ENSG00000083223	chr9	2.6602e-01	4.3103e+00
TVP23A	780776	NA	9.5483e-01	-6.2378e-01
TVP23A	ENSG00000166676	chr16	9.5483e-01	-6.2378e-01
TVP23B	51030	NA	5.5393e-01	2.4669e+00
TVP23B	ENSG00000171928	chr17	5.5393e-01	2.4669e+00
TVP23C	201158	NA	9.7087e-01	1.5183e+00
TVP23C	ENSG00000175106	chr17	9.7087e-01	1.5183e+00
TVP23C-CDRT4	ENSG00000259024	chr17	1.0907e+00	1.1062e+00
TWF1	5756	NA	4.5697e-01	2.7040e+00
TWF1	ENSG00000151239	chr12	4.5697e-01	2.7040e+00
TWF2	11344	NA	5.1204e-01	9.0732e-01
TWF2	ENSG00000247596	chr3	5.1204e-01	9.0732e-01
TWIST1	7291	NA	1.1223e+00	7.8032e-01
TWIST1	ENSG00000122691	chr7	1.1223e+00	7.8032e-01
TWIST2	117581	NA	4.1062e-01	1.6558e+00
TWIST2	ENSG00000233608	chr2	4.1062e-01	1.6558e+00
TWNK	56652	NA	8.1680e-01	2.3994e+00
TWNK	ENSG00000107815	chr10	8.1680e-01	2.3994e+00
TWSG1	57045	NA	1.0026e+00	9.3681e-01
TWSG1	ENSG00000128791	chr18	1.0026e+00	9.3681e-01
TXK	7294	NA	9.1813e-01	9.6698e-01
TXK	ENSG00000074966	chr4	9.1813e-01	9.6698e-01
TXLNA	200081	NA	2.5560e-01	2.0116e+00
TXLNA	ENSG00000084652	chr1	2.5560e-01	2.0116e+00
TXLNB	167838	NA	8.4745e-01	-3.3235e-01
TXLNB	ENSG00000164440	chr6	8.4745e-01	-3.3235e-01
TXLNG	55787	NA	2.7116e-01	1.1215e-01
TXLNG	ENSG00000086712	chrX	2.7116e-01	1.1215e-01
TXN	7295	NA	1.0302e+00	1.9830e+00
TXN	ENSG00000136810	chr9	1.0302e+00	1.9830e+00
TXN2	25828	NA	1.3278e+00	1.0269e+00
TXN2	ENSG00000100348	chr22	1.3278e+00	1.0269e+00
TXNDC11	51061	NA	1.0671e+00	-2.0399e+00
TXNDC11	ENSG00000153066	chr16	1.0671e+00	-2.0399e+00
TXNDC12	51060	NA	1.3002e+00	6.4899e-01
TXNDC12	ENSG00000117862	chr1	1.3002e+00	6.4899e-01
TXNDC15	79770	NA	9.6322e-01	1.3681e+00
TXNDC15	ENSG00000113621	chr5	9.6322e-01	1.3681e+00
TXNDC16	57544	NA	1.0494e+00	-1.6664e-01
TXNDC16	ENSG00000087301	chr14	1.0494e+00	-1.6664e-01
TXNDC17	84817	NA	1.1949e+00	-2.8968e-01
TXNDC17	ENSG00000129235	chr17	1.1949e+00	-2.8968e-01
TXNDC2	84203	NA	1.0890e+01	1.2544e+00
TXNDC2	ENSG00000168454	chr18	1.0890e+01	1.2544e+00
TXNDC5	81567	NA	1.0758e+00	-6.1900e-01
TXNDC5	ENSG00000239264	chr6	1.0758e+00	-6.1900e-01
TXNDC8	255220	NA	1.7875e+00	-5.9433e-01
TXNDC8	ENSG00000204193	chr9	1.7875e+00	-5.9433e-01
TXNDC9	10190	NA	5.7191e-01	1.4658e+00
TXNDC9	ENSG00000115514	chr2	5.7191e-01	1.4658e+00
TXNIP	10628	NA	7.4276e-01	-1.3462e+00
TXNIP	ENSG00000265972	chr1	7.4276e-01	-1.3462e+00
TXNL1	9352	NA	6.1612e-01	1.9779e+00
TXNL1	ENSG00000091164	chr18	6.1612e-01	1.9779e+00
TXNL4A	10907	NA	1.7438e+00	3.7003e+00
TXNL4A	ENSG00000141759	chr18	1.7438e+00	3.7003e+00
TXNL4B	54957	NA	1.4904e+00	-1.3095e+00
TXNL4B	ENSG00000140830	chr16	1.4904e+00	-1.3095e+00
TXNRD1	7296	NA	8.8541e-01	1.0991e+00
TXNRD1	ENSG00000198431	chr12	8.8541e-01	1.0991e+00
TXNRD2	10587	NA	1.1595e+00	1.2065e+00
TXNRD2	ENSG00000184470	chr22	1.1595e+00	1.2065e+00
TXNRD3	114112	NA	1.0644e+00	8.7617e-01
TXNRD3	ENSG00000197763	chr3	1.0644e+00	8.7617e-01
TYK2	7297	NA	6.1055e-01	2.4726e+00
TYK2	ENSG00000105397	chr19	6.1055e-01	2.4726e+00
TYMP	1890	NA	1.3920e+00	-2.6122e+00
TYMP	ENSG00000025708	chr22	1.3920e+00	-2.6122e+00
TYMS	7298	NA	7.7042e-01	2.8268e+00
TYMS	ENSG00000176890	chr18	7.7042e-01	2.8268e+00
TYR	7299	NA	1.4017e+00	-1.4179e+00
TYR	ENSG00000077498	chr11	1.4017e+00	-1.4179e+00
TYRO3	7301	NA	5.2314e-01	3.8854e+00
TYRO3	ENSG00000092445	chr15	5.2314e-01	3.8854e+00
TYROBP	7305	NA	1.2802e+00	-3.3317e-01
TYROBP	ENSG00000011600	chr19	1.2802e+00	-3.3317e-01
TYRP1	7306	NA	1.4527e+00	-3.0826e+00
TYRP1	ENSG00000107165	chr9	1.4527e+00	-3.0826e+00
TYSND1	219743	NA	1.0927e+00	1.6981e-01
TYSND1	ENSG00000156521	chr10	1.0927e+00	1.6981e-01
TYW1	55253	NA	6.1128e-01	3.1901e+00
TYW1	ENSG00000198874	chr7	6.1128e-01	3.1901e+00
TYW1B	441250	NA	1.0203e+00	2.8227e+00
TYW1B	ENSG00000277149	chr7	1.0203e+00	2.8227e+00
TYW3	127253	NA	1.5648e+00	-1.0017e-01
TYW3	ENSG00000162623	chr1	1.5648e+00	-1.0017e-01
TYW5	129450	NA	1.0699e+00	2.6045e-01
TYW5	ENSG00000162971	chr2	1.0699e+00	2.6045e-01
U2AF1	7307	NA	NA	3.5191e+00
U2AF1	ENSG00000160201	chr21	NA	3.5191e+00
U2AF1L4	199746	NA	1.3936e+00	-3.6315e-01
U2AF1L4	ENSG00000161265	chr19	1.3936e+00	-3.6315e-01
U2AF1L5	102724594	NA	NA	2.5191e+00
U2AF1L5	ENSG00000275895	chr21	NA	2.5191e+00
U2AF2	11338	NA	2.2502e-01	7.4596e+00
U2AF2	ENSG00000063244	chr19	2.2502e-01	7.4596e+00
U2SURP	23350	NA	1.0838e-01	6.1211e+00
U2SURP	ENSG00000163714	chr3	1.0838e-01	6.1211e+00
UACA	55075	NA	8.1656e-01	4.3049e-01
UACA	ENSG00000137831	chr15	8.1656e-01	4.3049e-01
UAP1	6675	NA	5.9643e-01	9.3433e-01
UAP1	ENSG00000117143	chr1	5.9643e-01	9.3433e-01
UAP1L1	91373	NA	1.2732e+00	4.3777e-01
UAP1L1	ENSG00000197355	chr9	1.2732e+00	4.3777e-01
UBA1	7317	NA	1.0806e-01	5.5328e+00
UBA1	ENSG00000130985	chrX	1.0806e-01	5.5328e+00
UBA2	10054	NA	2.3581e-01	4.4959e+00
UBA2	ENSG00000126261	chr19	2.3581e-01	4.4959e+00
UBA3	9039	NA	4.9112e-01	1.0958e+00
UBA3	ENSG00000144744	chr3	4.9112e-01	1.0958e+00
UBA5	79876	NA	7.2552e-01	2.0118e+00
UBA5	ENSG00000081307	chr3	7.2552e-01	2.0118e+00
UBA52	7311	NA	3.0968e-01	2.6642e+00
UBA52	ENSG00000221983	chr19	3.0968e-01	2.6642e+00
UBA6	55236	NA	7.0096e-01	6.6849e-01
UBA6	ENSG00000033178	chr4	7.0096e-01	6.6849e-01
UBA7	7318	NA	9.2949e-01	2.0898e+00
UBA7	ENSG00000182179	chr3	9.2949e-01	2.0898e+00
UBAC1	10422	NA	8.1086e-01	1.8696e-01
UBAC1	ENSG00000130560	chr9	8.1086e-01	1.8696e-01
UBAC2	337867	NA	8.2039e-01	1.8822e+00
UBAC2	ENSG00000134882	chr13	8.2039e-01	1.8822e+00
UBALD1	124402	NA	6.5500e-01	8.8028e-01
UBALD1	ENSG00000153443	chr16	6.5500e-01	8.8028e-01
UBALD2	283991	NA	9.0564e-01	1.5806e+00
UBALD2	ENSG00000185262	chr17	9.0564e-01	1.5806e+00
UBAP1	51271	NA	2.6970e-01	2.0419e+00
UBAP1	ENSG00000165006	chr9	2.6970e-01	2.0419e+00
UBAP1L	390595	NA	1.3386e+00	4.4890e-01
UBAP1L	ENSG00000246922	chr15	1.3386e+00	4.4890e-01
UBAP2	55833	NA	6.5113e-01	1.8744e-02
UBAP2	ENSG00000137073	chr9	6.5113e-01	1.8744e-02
UBAP2L	9898	NA	1.4886e-01	4.2940e+00
UBAP2L	ENSG00000143569	chr1	1.4886e-01	4.2940e+00
UBASH3A	53347	NA	1.0569e+00	-1.5334e-02
UBASH3A	ENSG00000160185	chr21	1.0569e+00	-1.5334e-02
UBASH3B	84959	NA	5.8389e-01	2.5245e+00
UBASH3B	ENSG00000154127	chr11	5.8389e-01	2.5245e+00
UBB	7314	NA	1.4541e+00	5.3098e+00
UBB	ENSG00000170315	chr17	1.4541e+00	5.3098e+00
UBC	7316	NA	4.1646e-01	6.6532e+00
UBC	ENSG00000150991	chr12	4.1646e-01	6.6532e+00
UBD	10537	NA	2.0602e+00	7.3309e-01
UBD	ENSG00000213886	chr6	2.0602e+00	7.3309e-01
UBE2A	7319	NA	NA	3.7575e+00
UBE2A	ENSG00000077721	chrX	NA	3.7575e+00
UBE2B	7320	NA	7.3899e-01	3.3673e+00
UBE2B	ENSG00000119048	chr5	7.3899e-01	3.3673e+00
UBE2C	11065	NA	1.0340e+00	1.0052e+00
UBE2C	ENSG00000175063	chr20	1.0340e+00	1.0052e+00
UBE2D1	7321	NA	6.3948e-01	2.8881e+00
UBE2D1	ENSG00000072401	chr10	6.3948e-01	2.8881e+00
UBE2D2	7322	NA	2.6005e-01	4.2756e+00
UBE2D2	ENSG00000131508	chr5	2.6005e-01	4.2756e+00
UBE2D3	7323	NA	2.7627e-01	4.9093e+00
UBE2D3	ENSG00000109332	chr4	2.7627e-01	4.9093e+00
UBE2D4	51619	NA	1.1105e+00	1.3531e+00
